ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
1,416.5,2.8,37.04,1.2,3244.4,0.308,0.404,2.56,26.83,0.835,0.257,0.25,73,26.09,10.31,9.59
1,403,,,,,,,,,,,,,,,
1,410.5,2.8,37.28,1.22,,0.314,0.41,3.03,27.11,0.633,0.171,0.303,70.4,25.27,10.49,11.19
1,398,,,,,,,,,,,,,,,
1,397.5,2.77,36.34,,,0.268,0.358,,,,,,,,,
1,383,,,,,,,,,,,,,,,
1,393.5,,,,,,,,,,,,,,,
1,394,2.64,33.03,,,0.25,0.33,3.43,27.78,0.684,0.36,,66.1,24.45,10.32,
1,413.5,,,,,,,,,,,,,,,
1,391,2.62,32.43,1.31,,0.264,0.344,4.07,26.1,0.674,0.048,0.239,63,21.53,8.48,7.61
1,,,,,,,,5.54,,0.84,0.059,0.362,,23.12,8.94,10.21
1,409,2.71,34.64,1.28,,0.268,0.348,3.49,26.67,0.692,0.092,0.06,63,23.06,9.11,9.9
1,406.5,,,,,,,,,,,,,,,
1,380.5,2.57,30.88,1.23,,0.286,0.376,3.82,26.64,0.649,,0.156,,22.9,8.48,7.68
1,401,,,,,,,,,,,,,,,
1,404.5,,,,,,,,,,,,,,,
1,396.5,,,,,,,,,,,,,,,
1,403.5,,,,,,,4.75,23.27,0.724,0.182,0.111,67.2,20.44,10.77,9.24
1,413.5,2.71,35.36,,,0.26,0.348,,,,,,,,,
1,404.5,,,,,,,,,,,,70.9,21.65,10.96,8.72
1,406,,,,,,,4.45,22.38,0.755,0.345,0.143,,,,
1,,2.68,34.19,,,0.26,0.342,,,,,,,,,
1,385,2.83,38.19,0.92,2362.8,0.4,0.556,4.12,23.98,0.782,0.206,0.095,,,,
1,407,,,,,,,,,,,,,,,
1,389,2.81,37.02,0.84,2263.6,0.428,0.6,2.8,27.06,0.863,0.265,0.129,69.3,19.71,11.05,8.39
1,408,,,,,,,,,,,,,,,
1,403.5,2.8,37.51,0.9,2294.3,0.404,0.574,5.28,22.8,0.837,0.103,0.109,,,,
1,404,,,,,,,,,,,,,,,
1,394.5,2.8,37.09,1.01,2665.8,0.356,0.502,3.42,27.29,0.78,0.196,0.347,67.7,17.64,9.74,8.06
1,411,,,,,,,,,,,,,,,
1,398.5,2.73,35.33,0.92,2387.2,0.382,0.514,,,,,,66.7,18.47,8.99,7.72
1,405.5,,,,,,,,,,,,66.1,16.36,8.11,7.45
1,,2.79,36.52,0.91,2252.9,0.388,0.52,1.62,28.58,0.97,0.131,0.054,,,,
1,397,2.84,38.47,0.84,2219.2,0.43,0.62,4.05,27.37,0.927,0.465,0.196,70.4,18.99,9.7,7.87
1,389.5,2.88,39.4,0.89,2267.9,0.418,0.548,,,,,,,,,
1,400.5,,,,,,,5.36,25.17,0.853,0.105,0.155,68.8,18.42,9.34,8.34
1,401.5,2.87,39.29,0.89,2415.3,0.42,0.566,,,,,,,,,
1,397.5,2.87,38.7,0.92,2468.3,0.39,0.536,3.63,26.85,0.956,,0.372,,,,
1,411.5,2.78,37.25,0.99,2418.5,0.364,0.506,3.32,26.82,0.8,0.119,0.103,68.8,17.22,8.96,7.51
1,395.5,2.91,39.7,0.94,2386.2,0.368,0.516,4.24,,0.753,0.287,0.077,67.7,15.7,8.96,7.73
1,,2.88,38.92,0.93,2487.5,0.41,0.564,1.92,27.8,0.792,0.544,0.074,,,,
2,485.5,,,,,,,,,,,,,,,
2,450,2.71,35.27,0.91,2093.7,0.4,0.548,4.89,25.17,0.986,0.397,0.43,77.3,21.31,8.37,9.83
2,349,,,,,,,,,,,,,,,
2,468.5,2.63,33.22,0.84,2077.5,0.414,0.59,4.28,24.95,1.024,0.337,0.509,78.9,23.26,9.4,10.59
2,,2.75,36.41,0.98,2252.2,0.366,0.52,4.58,23.55,1.038,0.369,0.628,74.7,22.92,9.15,10.28
2,454,,,,,,,,,,,,,,,
2,523,2.74,36.05,0.98,2278.7,0.376,0.498,,,,,,,,,
2,548.5,,,,,,,,,,,,,,,
2,,2.73,35.07,0.91,2054.2,0.406,0.536,4.88,23.55,0.991,0.447,0.447,76.3,21.26,7.99,10.64
2,383,,,,,,,,,,,,,,,
2,387.5,2.61,32.42,0.82,1966.8,0.412,0.592,5.58,23.32,1.008,0.447,0.602,70.6,19.74,7.71,9.49
2,478,,,,,,,,,,,,,,,
2,,,,,,,,7.02,18.75,1.04,0.171,0.374,,20.59,6.82,7.55
2,439.5,2.65,33.56,0.84,1951.7,0.422,0.58,4.22,23.91,0.996,0.332,0.412,74.7,20.18,7.51,7.78
2,480.5,,,,,,,,,,,,,,,
2,486.5,2.69,34.4,0.82,2018.4,0.448,0.606,4.86,23.51,0.884,0.448,0.517,74.7,18.71,8.02,7.73
2,381,,,,,,,,,,,,,,,
2,423,2.61,32.17,0.82,1925.8,0.434,0.588,5.28,19.94,0.948,0.563,0.663,72.7,22.8,7.52,10.62
2,454.5,,,,,,,,,,,,,,,
2,383,,,,,,,5.75,19.42,1.008,0.24,0.386,76.8,19.28,8.54,8.14
2,401.5,2.69,34.91,1.01,2244.5,0.364,0.48,,,,,,,,,
2,,,,,,,,6.28,20.31,1.022,0.133,0.427,74.7,19.52,8.52,7.97
2,382.5,2.71,35.17,1.04,2129.9,0.354,0.49,,,,,,,,,
2,440.5,,,,,,,6.78,19.31,1.082,0.394,0.64,77.8,20.01,7.95,9.67
2,,2.81,38,1.08,2227.5,0.35,0.474,,,,,,,,,
2,435,,,,,,,,,,,,,,,
2,412.5,2.77,36.5,0.84,2126.6,0.444,0.652,5.06,23.91,0.763,0.155,0.267,,,,
2,512.5,2.82,37.92,0.87,2157.6,0.43,0.63,4.54,24.94,0.841,0.353,0.376,75.8,16.5,,6.91
2,467,2.76,36.1,0.87,2014.3,0.418,0.604,6.95,21.85,0.79,0.309,0.246,,,,
2,424,,,,,,,,,,,,,,,
2,455,2.7,35.09,0.81,1930.3,0.43,0.62,4.53,26.17,0.738,0.276,0.453,,,,
2,477,,,,,,,,,,,,,,,
2,482,2.67,33.58,0.78,1966,0.464,0.68,,,,,,75.8,17.66,,7.74
2,468.5,,,,,,,,,,,,76.3,20.1,6.83,8.88
2,396.5,2.72,35.4,0.86,1973.9,0.402,0.58,2.93,27.66,1.087,0.594,0.672,,,,
2,506.5,2.62,32.35,0.76,1926.9,0.456,0.658,6.5,25.9,0.911,0.151,0.452,,21.05,8.46,10.14
2,398,2.8,37.06,0.8,2083.1,0.464,0.664,,,,,,,,,
2,390,2.71,34.77,0.69,1928,0.5,0.728,5.97,23.97,0.955,0.401,0.596,,21.9,8.82,9.65
2,368.5,,,,,,,,,,,,,,,
2,371.5,2.72,35.02,0.74,1952.3,0.482,0.692,,,,,,,,,
2,497.5,2.72,34.83,0.77,1969,0.47,0.674,7.69,20.14,0.909,0.522,0.378,,,,
2,394.5,2.7,34.69,0.76,1857.7,0.478,0.69,4.79,25.15,0.921,0.468,0.657,,22.86,9.59,10.14
2,410,2.62,31.93,0.74,1915.6,0.462,0.678,5.09,20.15,0.772,0.34,0.275,75.8,16.62,8.98,6.48
2,,2.6,31.62,0.71,1888.4,0.482,0.706,2.39,27.31,0.857,0.49,0.503,,,,
3,484,,,,,,,,,,,,,,,
3,503.5,2.81,37.3,0.9,2435.9,0.422,0.564,3.77,26.73,,0.81,0.819,75.6,19.64,9.8,10.78
3,489,,,,,,,,,,,,,,,
3,467,2.81,37.81,0.94,2400.5,0.396,0.548,4.19,25.28,1.344,0.78,0.73,79.7,19.83,10.65,10.59
3,505,,,,,,,,,,,,,,,
3,451,2.8,37.04,0.98,2454.2,0.372,0.508,3.08,26.83,1.319,0.683,0.747,77.7,20.46,9.6,11.27
3,509,,,,,,,,,,,,,,,
3,468,2.75,35.3,0.94,2337.7,0.396,0.53,,,,,,,,,
3,497,,,,,,,,,,,,,,,
3,,2.73,34.51,0.97,2391.5,0.372,0.514,6.59,21.33,1.247,0.531,0.708,78.7,21.4,8.81,
3,451,,,,,,,,,,,,,,,
3,466.5,2.62,31.98,0.92,2410.8,0.382,0.52,4.44,24.37,1.256,0.409,0.582,74.1,19.25,8.51,9.46
3,445,,,,,,,,,,,,,,,
3,,,,,,,,5.13,22.27,1.382,0.428,1.046,,24.03,9.64,11.33
3,475,2.59,30.86,0.88,,0.398,0.544,5.14,24.17,1.49,0.457,0.595,77.7,21.26,8.67,9.83
3,463,,,,,,,,,,,,,,,
3,454,2.66,33.53,0.91,2386.6,0.38,0.528,3.98,24.71,1.334,0.552,0.765,74.1,18.97,10.03,9.23
3,490,,,,,,,,,,,,,,,
3,487.5,2.67,33.61,0.96,2388.8,0.374,0.502,6.74,19.15,1.256,0.418,0.507,71.6,19.14,9.14,9.66
3,486,,,,,,,4.84,22.9,1.29,0.547,0.626,73.6,20.49,9.35,8.72
3,,2.71,35.19,0.91,,0.398,0.532,,,,,,,,,
3,452,,,,,,,6.67,20.05,1.288,0.397,0.649,76.1,20.15,8.49,8.31
3,467.5,2.68,34.21,0.93,2392,0.39,0.538,,,,,,,,,
3,487,,,,,,,6.51,20.08,1.249,0.353,0.501,73.6,22.14,8.92,8.94
4,487,,,,,,,,,,,,,,,
4,466.5,2.75,36.32,0.89,2118.7,0.424,0.61,4.15,26.26,1.108,0.5,0.258,80.7,20.21,9.06,8.43
4,479,,,,,,,,,,,,,,,
4,482.5,,,,,,,,,,,,,,,
4,511.5,2.67,33.79,0.91,2275.4,0.394,0.564,3.53,27.5,1.186,0.439,0.333,79.7,17.88,8.2,7.5
4,513.5,,,,,,,,,,,,,,,
4,516.5,2.73,35.75,0.97,2186.2,0.368,0.538,4.01,27.26,1.269,0.591,0.445,77.7,19.23,8.4,8.88
4,541.5,,,,,,,,,,,,,,,
4,480,2.83,38.35,1.01,2242.7,0.368,0.538,,,,,,,,,
4,456.5,,,,,,,,,,,,,,,
4,528,2.76,36.29,0.98,2322.2,0.37,0.53,3.3,24.67,1.145,0.518,0.605,77.2,18.05,8.12,8.85
4,557.5,,,,,,,,,,,,,,,
4,487,2.69,34.39,0.94,2284.8,0.394,0.558,3.42,25.48,1.18,0.493,0.447,75.1,17.68,8.49,7.34
4,550.5,,,,,,,,,,,,,,,
4,,,,,,,,5.25,21.33,0.967,0.427,0.44,74.1,18.48,7.67,7.65
4,525,2.68,34.62,0.98,2380.7,0.364,0.51,4.62,25.23,1.137,0.363,0.418,77.2,19.91,8.91,8.5
4,604,,,,,,,,,,,,,,,
4,498,2.67,33.74,0.92,2220.6,0.386,0.56,3.99,25.27,0.921,0.425,0.399,74.6,16.8,8.08,7.33
4,452,,,,,,,,,,,,,,,
4,515.5,,,,,,,,,,,,,,,
4,574.5,2.66,33.62,0.89,2219.4,0.39,0.558,4.42,24.52,1.072,0.442,0.415,76.6,18.05,9.04,8.07
4,577.5,,,,,,,2.05,25.92,0.939,0.464,0.319,76.1,17.73,9.33,8.21
4,,2.68,34.63,1.03,2399.5,0.342,0.49,,,,,,,,,
4,631.5,,,,,,,4.42,24.19,1.016,0.431,0.416,76.6,17.36,7.62,6.67
4,,2.8,37.24,1.05,,0.352,0.49,,,,,,,,,
4,648,,,,,,,4.88,21.3,1.135,0.374,0.31,76.6,17.14,7.31,7.33
4,,2.81,37.63,1.02,2354.5,0.366,0.52,,,,,,,,,
4,499,,,,,,,,,,,,,,,
4,529,2.89,40.64,1.08,2358.6,0.358,0.518,6.61,20.85,0.936,0.275,0.338,,,,
4,543,,,,,,,,,,,,,,,
4,536,2.88,39.73,0.99,2149.6,0.41,0.598,3.56,27.76,1.083,0.503,0.659,74.1,14.46,8.38,7.09
4,555.5,,,,,,,,,,,,,,,
4,496,2.88,39.99,1.06,2252.3,0.36,0.522,7.09,21.34,0.913,0.335,0.357,,,,
4,489.5,,,,,,,,,,,,,,,
4,558,2.82,38.2,0.94,2126.8,0.416,0.604,4.52,25.93,0.82,0.158,0.14,76.1,14.43,8.37,7.45
4,591.5,,,,,,,,,,,,,,,
4,560,2.79,37.44,0.88,2119,0.418,0.612,,,,,,75.1,14.46,8.8,7.39
4,544,,,,,,,,,,,,76.1,18.06,8.35,7.06
4,530,2.79,37.73,0.92,2166.9,0.42,0.598,3.64,27.27,0.815,0.172,0.357,,,,
4,536,2.84,38.67,0.96,2191.9,0.398,0.584,5.45,28.51,0.844,0.391,0.395,,13.84,7.6,6.54
4,573,2.79,37.28,0.86,2020.9,0.448,0.642,,,,,,,,,
4,543,2.84,38.65,0.98,2218,0.37,0.554,4.6,26.05,0.784,0.354,0.413,75.6,12.66,6.67,5.86
4,592.5,2.85,38.62,0.99,2214.3,0.416,0.606,,,,,,,,,
4,559.5,2.76,36.01,0.87,2118.3,0.424,0.624,3.09,28.36,0.884,0.492,0.445,,,,
4,613.5,2.74,35.9,0.86,2071.7,0.436,0.636,1.97,28.11,1.059,0.613,0.543,,19.07,9.01,8.8
4,578.5,2.84,38.45,0.91,2149.3,0.44,0.636,4.94,20.79,0.684,0.21,0.147,77.7,13.05,6.69,6.62
4,,3.04,,1.02,2224,0.4,0.59,2.18,28.78,0.88,0.325,0.399,,,,
5,508.5,,,,,,,,,,,,,,,
5,500.5,2.87,38.33,1.09,2643.7,0.342,0.472,4,27.46,0.837,,0.307,74.7,24.22,7.54,9.8
5,502.5,,,,,,,,,,,,,,,
5,479.5,2.83,37.42,0.88,2305.4,0.418,0.584,3.85,27.8,0.999,0.173,0.317,76.3,24.43,7.6,10.35
5,485.5,,,,,,,,,,,,,,,
5,514,,,,,,,,,,,,,,,
5,503,2.83,38.18,0.83,2255.2,0.452,0.624,3.58,28.76,0.933,0.132,0.269,76.8,22.52,8.09,9.31
5,484,,,,,,,,,,,,,,,
5,516,,,,,,,,,,,,,,,
5,518,2.85,38.38,0.86,2329.7,0.462,0.602,,,,,,,,,
5,458,,,,,,,,,,,,,,,
5,448.5,2.91,39.84,0.96,2187.2,0.382,0.532,4.34,24.67,0.992,0.385,0.531,75.3,24.25,7.54,10.23
5,523.5,,,,,,,,,,,,,,,
5,505.5,2.84,38.54,0.81,2212.8,0.448,0.608,4.47,26.32,0.968,0.013,0.35,,25.36,7.19,9.81
5,518,,,,,,,,,,,,,,,
5,,,,,,,,4.53,23.34,1.155,0.151,0.339,72.1,25.64,,10.03
5,518.5,2.82,37.73,0.8,2266.7,0.452,0.63,4.02,26.97,0.972,0.166,0.319,74.2,25.32,7.73,9.58
5,539,,,,,,,,,,,,,,,
5,514,,,,,,,,,,,,,,,
5,542,2.77,35.74,1.02,2424.6,0.354,0.482,2.77,26.57,0.857,0.3,0.428,73.7,23.87,6.91,8.97
5,534,,,,,,,,,,,,,,,
5,524,2.78,36.02,0.94,2410.3,0.382,0.53,4.17,24.96,0.968,0.025,0.413,72.1,24.07,7.36,10.16
5,517.5,,,,,,,4.94,25.37,1.031,0.244,0.375,76.8,25.62,7.68,10.19
5,,2.84,37.72,0.98,2453.5,0.376,0.502,,,,,,,,,
5,473.5,,,,,,,4.52,24.68,0.903,0.092,0.272,77.4,26.13,8.2,10.85
5,533.5,2.85,38.94,0.98,2496.9,0.374,0.514,,,,,,,,,
5,561.5,,,,,,,,,,,,74.7,27.23,8.09,10.1
5,,,,,,,,,23.43,0.853,0.066,0.091,78.9,,8.62,
5,429.5,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,76.8,,7.99,
5,,,,,,,,,,,,,77.9,,7.21,
5,,,,,,,,3.13,26.59,0.759,,,,,,
5,,,,,,,,5.81,26.23,0.741,,,77.9,,7.95,
5,,,,,,,,,,,,,75.8,,6.98,
5,,,,,,,,4.09,28.07,0.888,0.263,0.325,,,,
5,,2.8,36.86,0.9,2145.2,0.404,0.55,2.79,24.32,0.599,0.113,,74.7,,7,
5,,2.88,38.38,0.97,2479.6,0.374,0.52,4.14,26.97,0.709,0.111,,,,,
6,583,,,,,,,,,,,,,,,
6,,2.86,39.14,1.03,3221.5,0.372,0.502,3.42,27.59,0.828,0.26,0.396,70.8,23.62,9.89,12.3
6,612.5,3,43.05,1.1,2853.7,0.364,0.516,,,,,,,,,
6,610.5,,,,,,,,,,,,,,,
6,610.5,2.9,40.53,1.09,2951.2,0.354,0.49,2.46,27.26,0.754,0.355,0.282,84.1,24.18,10.35,12.63
6,610,,,,,,,,,,,,,,,
6,635,2.91,39.6,1.01,2996.8,0.38,0.524,2.9,27.53,0.966,0.397,0.382,77.4,23.59,8.57,10.13
6,635.5,,,,,,,,,,,,,,,
6,627.5,2.94,41.49,1.09,3036.7,0.364,0.498,,,,,,,,,
6,604,,,,,,,,,,,,,,,
6,636,2.87,38.88,1.1,2859.4,0.348,0.48,1.85,28.69,0.699,0.187,0.109,80.5,23.51,9,8.96
6,632,,,,,,,,,,,,,,,
6,606.5,2.89,39.44,0.97,2575.8,0.388,0.548,4.52,21.59,1.081,0.234,0.379,72.8,22.79,10.06,9.15
6,596,,,,,,,5.02,22.44,0.855,0.16,0.056,,21.04,8.93,7.74
6,605,2.89,39.07,0.91,2495.5,0.416,,,,,,,,,,
6,600,,,,,,,4.31,23.73,1.036,0.417,0.386,,22.38,9.15,10.25
6,632,2.93,40.88,1.2,3463.9,0.32,0.424,,,,,,,,,
6,620,,,,,,,,,,,,73.8,22.95,9.44,9.73
6,,2.97,41.5,1.09,2897.5,0.362,0.502,,,,,,,,,
6,581,2.9,40.08,1.27,3721.5,0.31,0.43,2.23,25.5,0.849,0.516,0.571,,,,
6,597,,,,,,,,,,,,,,,
6,663,2.93,40.95,1.22,3577.6,0.33,0.448,3.7,26.95,0.585,0.229,0.277,79.5,20.61,,9.09
6,,3.01,43.07,1.39,4031.3,0.298,0.398,3.72,21.42,0.683,0.541,,,,,
6,637.5,,,,,,,,,,,,,,,
6,585,2.87,38.7,1.24,3620.3,0.308,0.416,4.98,23.87,0.72,0.372,0.201,77.4,16.66,12.03,8.39
6,618,,,,,,,,,,,,,,,
6,631,2.88,39.69,1.22,3482.2,0.324,0.44,,,,,,80.5,21.22,,10.87
6,628,,,,,,,,,,,,77.4,17.68,9.06,7.14
6,621.5,2.86,38.75,1.26,3352.4,0.3,0.416,3.09,30,0.735,0.355,0.366,,,,
6,611,2.88,39.77,1.13,3418.3,0.344,0.458,5.91,27.53,0.721,0.336,0.314,80.5,20.25,13.51,8.41
6,597.5,2.81,38.2,1.3,3973.9,0.296,0.382,,,,,,,,,
6,592.5,2.77,36.43,1.2,3413.5,0.316,0.414,3.11,26.95,0.804,0.244,0.263,75.9,19.42,9.42,8.75
6,586.5,2.85,38.33,1.22,3422.3,0.324,0.434,,,,,,,,,
6,623.5,2.9,39.71,1.17,3263,0.334,0.458,2.09,28.68,0.804,0.35,0.238,,,,
6,603,2.85,38.03,1.24,3372.6,0.306,0.408,2.91,26.58,0.663,0.239,0.094,76.9,19.21,10.03,8.88
6,590,2.8,37.19,1.09,3190.9,0.332,0.444,3.34,23.79,0.798,0.321,0.014,80.5,,,
6,,2.83,38.16,1.25,3265.4,0.308,0.422,3.62,27.78,0.723,0.257,0.247,,,,
7,575,,,,,,,,,,,,,,,
7,576.5,,,,,,,,,,,,,,,
7,563.5,2.68,33.41,0.81,2208.7,0.432,0.614,3.97,27.73,1.277,,0.027,81.6,20.95,11.05,8.24
7,558.5,,,,,,,,,,,,,,,
7,535.5,,36.69,0.86,2265.5,0.392,0.592,4.52,25.84,1.186,0.23,0.076,82.1,21.21,8.88,10.44
7,562.5,,,,,,,,,,,,,,,
7,532,,,,,,,,,,,,,,,
7,523,2.63,32.74,0.85,1955.7,0.42,0.594,,,,,,,,,
7,524.5,,,,,,,,,,,,,,,
7,629.5,,,,,,,,,,,,,,,
7,525.5,2.55,30.3,0.82,2075.2,0.396,0.568,5.19,23.44,1.16,0.288,0.372,77.6,20.44,7.3,10.27
7,533.5,,,,,,,,,,,,,,,
7,589,,,,,,,,,,,,,,,
7,584,2.5,29.11,0.73,1778.8,0.418,0.6,4.63,25.6,1.14,,0.231,74,21.45,8.21,7.18
7,543.5,,,,,,,,,,,,,,,
7,,,,,,,,5.26,21.8,1.099,0.332,0.297,65.8,18.98,7.79,9.36
7,530.5,2.57,30.6,0.77,1946.7,0.416,0.596,4.77,25.26,1.187,,0.232,77,21.62,9.53,7.3
7,527,,,,,,,,,,,,,,,
7,581.5,,,,,,,,,,,,,,,
7,558,2.56,30.43,0.81,2107.6,0.378,0.548,,,,,,,18.76,10.51,8.12
7,538,,,,,,,,,,,,,,,
7,565,2.55,29.94,0.78,2069.4,0.418,0.604,,,,,,75,22.6,8.31,8.94
7,546,,,,,,,4.66,21.94,1.083,,,80.6,20.54,9.04,7.54
7,,2.55,30.42,0.82,2074.5,0.402,0.566,,,,,,,,,
7,544,,,,,,,4.75,23.81,0.98,0.048,0.124,75,21.43,7.84,8.39
7,,2.55,29.78,0.82,1969,0.394,0.544,,,,,,,,,
7,534,,,,,,,6.43,20.83,1.022,,0.14,77.6,21.41,8.46,8.26
7,550,2.68,33.32,0.89,2102.5,0.378,0.546,,,,,,,,,
7,546,,,,,,,,,,,,,,,
7,526,,,,,,,,,,,,,,,
7,525.5,,,,,,,,,,,,,,,
7,523,,,,,,,,,,,,,,,
7,497,,,,,,,,,,,,,,,
7,516,,,,,,,,,,,,,,,
7,483.5,,,,,,,,,,,,,,,
7,503,,,,,,,,,,,,,,,
7,481,,,,,,,,,,,,,,,
7,483.5,,,,,,,,,,,,,13.74,8.93,6.17
7,481.5,,,,,,,,,,,,77.6,,5.85,5.51
7,483.5,2.69,33.39,0.85,2015.4,0.418,0.618,3.18,26.24,0.863,0.082,,,,,
7,479,2.59,31.08,0.79,1927.9,0.428,0.622,5.09,26.45,0.743,0.206,,80.1,14.72,9.38,6.14
7,478.5,2.63,31.84,0.82,2020.1,0.408,0.614,,,,,,,,,
7,508,2.55,30.24,0.78,1921,0.422,0.622,4.5,25.64,0.736,,,75.5,12.93,7.24,6.16
7,497,2.48,28.41,0.83,2027.3,0.404,0.592,,,,,,,,,
7,505.5,2.55,29.94,0.87,1996.3,0.38,0.56,5.74,22.97,1.012,0.152,0.121,,,,
7,537.5,2.73,34.95,0.9,2069.6,0.392,0.574,3.53,25.62,0.618,0.183,,75,,7.32,5.96
7,510.5,2.51,28.7,0.82,1830.6,0.414,0.608,3.78,22.02,0.641,0.041,,71.9,,6.66,5.99
7,,2.59,31,0.88,1951.4,0.396,0.584,2.52,27.97,0.956,0.247,0.197,,,,
8,475.5,,,,,,,,,,,,,,,
8,448.5,2.7,34.26,0.8,1895.7,0.458,0.6,3.39,27.22,1.063,0.656,0.638,80,29.99,12.85,11.45
8,497.5,,,,,,,,,,,,,,,
8,461.5,,,,,,,,,,,,,,,
8,554,2.71,34.95,0.88,1996.5,0.432,0.548,3.9,26.82,0.995,0.536,0.652,77.5,30.12,13.69,12.01
8,503.5,,,,,,,,,,,,,,,
8,454.5,2.71,34.73,0.86,1740.2,0.408,0.562,,,,,,,,,
8,490.5,,,,,,,,,,,,,,,
8,541,,,,,,,,,,,,,,,
8,575.5,2.88,39.6,0.86,1655.7,0.454,0.612,,,,,,,,,
8,556,,,,,,,,,,,,,,,
8,522.5,2.7,34.61,0.72,1520.5,0.496,0.68,3.65,26.22,0.988,0.765,0.562,74.5,28.42,14.16,11.36
8,535.5,,,,,,,,,,,,,,,
